"date","year","month","country","sector","value"
2015-01-01,2015,1,"china","power_mtco2",378.185532140937
2015-01-01,2015,1,"china","industry_mtco2",275.118573348534
2015-01-01,2015,1,"china","residential_mtco2",58.5725
2015-01-01,2015,1,"china","aviation_mtco2",4.49083333333333
2015-01-01,2015,1,"china","transport_mtco2",65.2425
2015-01-01,2015,1,"china","total_hist_mtco2",781.609938822804
2015-01-01,2015,1,"india","power_mtco2",80.9559636351287
2015-01-01,2015,1,"india","industry_mtco2",57.079326055313
2015-01-01,2015,1,"india","residential_mtco2",14.4508333333333
2015-01-01,2015,1,"india","aviation_mtco2",0.499166666666667
2015-01-01,2015,1,"india","transport_mtco2",20.7108333333333
2015-01-01,2015,1,"india","total_hist_mtco2",173.696123023775
2015-01-01,2015,1,"us","power_mtco2",156.260096253245
2015-01-01,2015,1,"us","industry_mtco2",59.2387850790631
2015-01-01,2015,1,"us","residential_mtco2",48.2183333333333
2015-01-01,2015,1,"us","aviation_mtco2",13.215
2015-01-01,2015,1,"us","transport_mtco2",132.800833333333
2015-01-01,2015,1,"us","total_hist_mtco2",409.733047998975
2015-01-01,2015,1,"europe","power_mtco2",103.545842871313
2015-01-01,2015,1,"europe","industry_mtco2",51.3317897017164
2015-01-01,2015,1,"europe","residential_mtco2",49.1333333333333
2015-01-01,2015,1,"europe","aviation_mtco2",1.37916666666667
2015-01-01,2015,1,"europe","transport_mtco2",72.4058333333333
2015-01-01,2015,1,"europe","total_hist_mtco2",277.795965906363
2015-01-01,2015,1,"russia","power_mtco2",80.1152512758398
2015-01-01,2015,1,"russia","industry_mtco2",20.2630359584909
2015-01-01,2015,1,"russia","residential_mtco2",13.665
2015-01-01,2015,1,"russia","aviation_mtco2",1.26583333333333
2015-01-01,2015,1,"russia","transport_mtco2",18.7825
2015-01-01,2015,1,"russia","total_hist_mtco2",134.091620567664
2015-01-01,2015,1,"japan","power_mtco2",65.9553293298976
2015-01-01,2015,1,"japan","industry_mtco2",22.4363328055995
2015-01-01,2015,1,"japan","residential_mtco2",9.94333333333333
2015-01-01,2015,1,"japan","aviation_mtco2",0.834166666666667
2015-01-01,2015,1,"japan","transport_mtco2",16.4866666666667
2015-01-01,2015,1,"japan","total_hist_mtco2",115.655828802164
2015-01-01,2015,1,"brazil","power_mtco2",9.03449206849595
2015-01-01,2015,1,"brazil","industry_mtco2",11.5183244206774
2015-01-01,2015,1,"brazil","residential_mtco2",3.3225
2015-01-01,2015,1,"brazil","aviation_mtco2",0.9125
2015-01-01,2015,1,"brazil","transport_mtco2",15.5308333333333
2015-01-01,2015,1,"brazil","total_hist_mtco2",40.3186498225067
2015-01-01,2015,1,"germany","power_mtco2",27.6203375179005
2015-01-01,2015,1,"germany","industry_mtco2",10.7320230634244
2015-01-01,2015,1,"germany","residential_mtco2",10.9891666666667
2015-01-01,2015,1,"germany","aviation_mtco2",0.183333333333333
2015-01-01,2015,1,"germany","transport_mtco2",12.9458333333333
2015-01-01,2015,1,"germany","total_hist_mtco2",62.4706939146582
2015-01-01,2015,1,"france","power_mtco2",3.39293593190423
2015-01-01,2015,1,"france","industry_mtco2",5.270925
2015-01-01,2015,1,"france","residential_mtco2",6.5125
2015-01-01,2015,1,"france","aviation_mtco2",0.2
2015-01-01,2015,1,"france","transport_mtco2",9.99916666666667
2015-01-01,2015,1,"france","total_hist_mtco2",25.3755275985709
2015-01-01,2015,1,"italy","power_mtco2",7.84620440701938
2015-01-01,2015,1,"italy","industry_mtco2",4.60997072599532
2015-01-01,2015,1,"italy","residential_mtco2",5.90833333333333
2015-01-01,2015,1,"italy","aviation_mtco2",0.174166666666667
2015-01-01,2015,1,"italy","transport_mtco2",8.3525
2015-01-01,2015,1,"italy","total_hist_mtco2",26.8911751330147
2015-01-01,2015,1,"spain","power_mtco2",5.10498801489797
2015-01-01,2015,1,"spain","industry_mtco2",4.559945
2015-01-01,2015,1,"spain","residential_mtco2",2.69666666666667
2015-01-01,2015,1,"spain","aviation_mtco2",0.445
2015-01-01,2015,1,"spain","transport_mtco2",6.68333333333333
2015-01-01,2015,1,"spain","total_hist_mtco2",19.489933014898
2015-01-01,2015,1,"uk","power_mtco2",8.91040388393307
2015-01-01,2015,1,"uk","industry_mtco2",5.67197183098592
2015-01-01,2015,1,"uk","residential_mtco2",7.07083333333333
2015-01-01,2015,1,"uk","aviation_mtco2",0.204166666666667
2015-01-01,2015,1,"uk","transport_mtco2",9.6375
2015-01-01,2015,1,"uk","total_hist_mtco2",31.494875714919
2015-01-01,2015,1,"all","power_mtco2",874.052507574857
2015-01-01,2015,1,"all","industry_mtco2",496.986167369394
2015-01-01,2015,1,"all","residential_mtco2",197.305833333333
2015-01-01,2015,1,"all","aviation_mtco2",22.5966666666667
2015-01-01,2015,1,"all","transport_mtco2",341.96
2015-01-01,2015,1,"all","total_hist_mtco2",1932.90117494425
2015-02-01,2015,2,"china","power_mtco2",273.451456577618
2015-02-01,2015,2,"china","industry_mtco2",275.118573348534
2015-02-01,2015,2,"china","residential_mtco2",58.5725
2015-02-01,2015,2,"china","aviation_mtco2",4.49083333333333
2015-02-01,2015,2,"china","transport_mtco2",65.2425
2015-02-01,2015,2,"china","total_hist_mtco2",676.875863259485
2015-02-01,2015,2,"india","power_mtco2",74.9443152775619
2015-02-01,2015,2,"india","industry_mtco2",55.3481506550218
2015-02-01,2015,2,"india","residential_mtco2",14.4508333333333
2015-02-01,2015,2,"india","aviation_mtco2",0.499166666666667
2015-02-01,2015,2,"india","transport_mtco2",20.7108333333333
2015-02-01,2015,2,"india","total_hist_mtco2",165.953299265917
2015-02-01,2015,2,"us","power_mtco2",148.487134438848
2015-02-01,2015,2,"us","industry_mtco2",59.7912974887763
2015-02-01,2015,2,"us","residential_mtco2",48.2183333333333
